model_name,data_name,Input type,is_apply_multi_label,transfer_task,source_train-Loss,source_train-Acc,source_val-Loss,source_val-Acc,target_val-Loss,target_val-Acc
cnn_features_1d,PHM,TimeSeries,0,"[[0, 2, 3], [1]]",0.7682,0.9701,2.2125,0.6303,3.4258,0.5256
cnn_features_1d,PHM,TimeSeries,0,"[[1, 2, 3], [0]]",0.8236,0.9501,1.8817,0.6314,4.1599,0.4103
cnn_features_1d,PHM,TimeSeries,0,"[[0, 1, 3], [2]]",0.7518,0.9776,2.7626,0.5876,2.6665,0.6026
cnn_features_1d,PHM,TimeSeries,0,"[[0, 1], [2, 3]]",0.7113,0.9884,2.2496,0.6138,3.8507,0.5192
cnn_features_1d,PHM,TimeSeries,0,"[[0, 2], [1, 3]]",0.7542,0.9742,2.0344,0.6154,3.3491,0.4760 
cnn_features_1d,PHM,TimeSeries,0,"[[0, 3], [1, 2]]",0.7048,0.99,2.4970 ,0.6138,3.5106,0.5106
cnn_features_1d,PHM,TimeSeries,0,"[[1, 2], [0, 3]]",0.7498,0.972,2.0386,0.6122,3.5950 ,0.5080 
cnn_features_1d,PHM,TimeSeries,0,"[[1, 3], [0, 2]]",0.7016,0.99,2.2233,0.6058,3.5042,0.5032
cnn_features_1d,PHM,TimeSeries,0,"[[2, 3], [0, 1]]",0.7076,0.9852,2.1561,0.6314,4.5955,0.4407
cnn_features_1d,PHM,TimeSeries,0,"[[2, 3], [0, 1]]",0.7023,0.9880 ,2.3511,0.6090 ,5.4660 ,0.4215
cnn_features_1d,PHM,TimeSeries,0,"[[1, 3], [0, 2]]",0.7034,0.9908,2.4277,0.6042,3.4403,0.5096
cnn_features_1d,PHM,TimeSeries,0,"[[1, 2], [0, 3]]",0.7274,0.9836,2.0407,0.6314,3.6389,0.4696
cnn_features_1d,PHM,TimeSeries,0,"[[0, 3], [1, 2]]",0.7205,0.9836,2.4276,0.6122,3.4267,0.5208
cnn_features_1d,PHM,TimeSeries,0,"[[0, 2], [1, 3]]",0.7095,0.9920 ,2.4721,0.6058,3.9691,0.5016
cnn_features_1d,PHM,TimeSeries,0,"[[0, 1], [2, 3]]",0.7228,0.9812,1.9653,0.6490 ,3.5037,0.5064
cnn_features_1d,PHM,FFT,0,"[[0], [1]]",0.6938,0.9976,0.4213,0.8878,4.0934,0.5929
cnn_features_1d,PHM,FFT,0,"[[0], [2]]",0.6965,0.996,0.3363,0.9455,7.1678,0.4583
cnn_features_1d,PHM,FFT,0,"[[0], [3]]",0.6732,0.9952,0.3551,0.9295,6.9825,0.4679
cnn_features_1d,PHM,FFT,0,"[[1], [0]]",0.6866,0.9992,0.965,0.7949,4.2327,0.5353
cnn_features_1d,PHM,FFT,0,"[[1], [2]]",0.6925,1,1.0703,0.8237,2.8859,0.6346
cnn_features_1d,PHM,FFT,0,"[[1], [3]]",0.6917,0.9992,0.9217,0.8141,4.5703,0.5224
cnn_features_1d,PHM,FFT,0,"[[2], [0]]",0.6845,0.9944,1.3112,0.8045,4.6854,0.5577
cnn_features_1d,PHM,FFT,0,"[[2], [1]]",0.6836,1,1.257,0.8250 ,3.5932,0.6667
cnn_features_1d,PHM,FFT,0,"[[2], [3]]",0.6887,1,1.1172,0.7949,1.5130 ,0.7436
cnn_features_1d,PHM,FFT,0,"[[3], [0]]",0.6954,0.9984,0.3963,0.9231,10.2815,0.3526
cnn_features_1d,PHM,FFT,0,"[[3], [1]]",0.6968,0.9944,0.6044,0.8846,4.2677,0.6314
cnn_features_1d,PHM,FFT,0,"[[3], [2]]",0.6939,1,0.6563,0.9810 ,3.6382,0.6442
cnn_features_1d,PHM,FFT,0,"[[0, 1], [2]]",0.6921,0.9992,0.8266,0.8413,2.9948,0.6731
cnn_features_1d,PHM,FFT,0,"[[0, 1], [3]]",0.6957,0.9984,0.9113,0.8413,7.3678,0.4901
cnn_features_1d,PHM,FFT,0,"[[0, 2], [1]]",0.6953,0.9984,0.8058,0.8494,2.9636,0.6794
cnn_features_1d,PHM,FFT,0,"[[0, 2], [3]]",0.6981,0.9984,0.6713,0.8782,2.9400 ,0.7179
cnn_features_1d,PHM,FFT,0,"[[0, 3], [1]]",0.6957,0.9988,0.8755,0.8670 ,4.5327,0.6378
cnn_features_1d,PHM,FFT,0,"[[0, 3], [2]]",0.6943,0.9992,0.8894,0.8734,2.2918,0.7212
cnn_features_1d,PHM,FFT,0,"[[1, 2], [0]]",0.6919,0.9972,1.0635,0.8173,2.5852,0.7276
cnn_features_1d,PHM,FFT,0,"[[1, 2], [3]]",0.6942,0.9984,1.2143,0.7788,2.4575,0.7115
cnn_features_1d,PHM,FFT,0,"[[2, 3], [0]]",0.6924,0.9984,1.2070 ,0.8029,5.0496,0.5609
